timestamp,position_lat,position_long,distance,enhanced_speed,enhanced_altitude,heart_rate,cadence,fractional_cadence,lat,lon,dist_m,spd_ms,altitude,dt_s,d_m,moving,elev_smooth,day_local
2025-09-23T00:37:41Z,28.784608589485288,83.96623654291034,125178.36,0,4903.6,112,0,0,28.784608589485288,83.96623654291034,125178.36,0,4903.6,7,3.5800000000017462,FALSE,4903.6,2025-09-23
2025-09-23T00:37:44Z,28.78461806103587,83.96622095257044,125180.33,0,4903.8,111,0,0,28.78461806103587,83.96622095257044,125180.33,0,4903.8,3,1.9700000000011642,FALSE,4903.8,2025-09-23
2025-09-23T00:37:48Z,28.784628370776772,83.9662020932883,125182.43,0,4904.2,110,0,0,28.784628370776772,83.9662020932883,125182.43,0,4904.2,4,2.099999999991269,FALSE,4904.2,2025-09-23
2025-09-23T00:37:52Z,28.784634824842215,83.96619304083288,125183.79,0,4905,110,0,0,28.784634824842215,83.96619304083288,125183.79,0,4905,4,1.360000000000582,FALSE,4905,2025-09-23
2025-09-23T00:37:54Z,28.784635327756405,83.96618809551,125184.05,0,4905.2,110,0,0,28.784635327756405,83.96618809551,125184.05,0,4905.2,2,0.2600000000093132,FALSE,4905.2,2025-09-23
2025-09-23T00:37:59Z,28.784635243937373,83.96616253070533,125186.5,0,4905.6,109,0,0,28.784635243937373,83.96616253070533,125186.5,0,4905.6,5,2.4499999999970896,FALSE,4905.6,2025-09-23
2025-09-23T00:38:02Z,28.784641781821847,83.96614509634674,125188.24,0,4906,109,0,0,28.784641781821847,83.96614509634674,125188.24,0,4906,3,1.7400000000052387,FALSE,4906,2025-09-23
2025-09-23T00:38:05Z,28.784655276685953,83.96612766198814,125190.35,0,4906.4,110,0,0,28.784655276685953,83.96612766198814,125190.35,0,4906.4,3,2.110000000000582,FALSE,4906.4,2025-09-23
2025-09-23T00:38:10Z,28.784660305827856,83.9661103952676,125192.58,0,4907.2,108,0,0,28.784660305827856,83.9661103952676,125192.58,0,4907.2,5,2.2299999999959255,FALSE,4907.2,2025-09-23
2025-09-23T00:38:12Z,28.78466189838946,83.96610653959215,125192.93,0,4907.6,109,0,0,28.78466189838946,83.96610653959215,125192.93,0,4907.6,2,0.34999999999126885,FALSE,4907.6,2025-09-23
2025-09-23T00:38:18Z,28.784665251150727,83.966079717502,125195.55,0,4908,111,0,0,28.784665251150727,83.966079717502,125195.55,0,4908,6,2.6200000000098953,FALSE,4908,2025-09-23
2025-09-23T00:38:20Z,28.784667178988457,83.96607167087495,125196.45,0,4908.4,111,0,0,28.784667178988457,83.96607167087495,125196.45,0,4908.4,2,0.8999999999941792,FALSE,4908.4,2025-09-23
2025-09-23T00:38:24Z,28.784677991643548,83.96605230867863,125198.35,0,4908.8,108,0,0,28.784677991643548,83.96605230867863,125198.35,0,4908.8,4,1.9000000000087311,FALSE,4908.8,2025-09-23
2025-09-23T00:38:26Z,28.784682601690292,83.96604157984257,125199.61,0,4909,106,0,0,28.784682601690292,83.96604157984257,125199.61,0,4909,2,1.2599999999947613,FALSE,4909,2025-09-23
2025-09-23T00:38:30Z,28.784685283899307,83.9660292584449,125201.09,0,4909.4,104,0,0,28.784685283899307,83.9660292584449,125201.09,0,4909.4,4,1.4799999999959255,FALSE,4909.4,2025-09-23
2025-09-23T00:38:34Z,28.78468536771834,83.96601567976177,125202.33,0,4910,105,0,0,28.78468536771834,83.96601567976177,125202.33,0,4910,4,1.2400000000052387,FALSE,4910,2025-09-23
2025-09-23T00:38:38Z,28.784686289727688,83.96599480882287,125204.48,0,4910.6,106,0,0,28.784686289727688,83.96599480882287,125204.48,0,4910.6,4,2.1499999999941792,FALSE,4910.6,2025-09-23
2025-09-23T00:38:40Z,28.78468545153737,83.96598567254841,125205.33,0,4910.8,106,0,0,28.78468545153737,83.96598567254841,125205.33,0,4910.8,2,0.8500000000058208,FALSE,4910.8,2025-09-23
